PDB_ID,Chain,CATH,N,Fmax_[e/A],Dmax_[A],Lmax_[A],lambda
3b56,A,2.60.40.180,115,2.68,78.15,110,0.16
1zcr,A,2.60.40.180,115,2.52,78.15,106.75,0.16
2g3x,A,2.60.40.180,115,2.39,78.91,104.25,0.16
5ttr,A,2.60.40.180,116,2.69,82.22,117.25,0.17
3ait,A,2.60.40.20,74,2.68,79.17,111.25,0.26
4ait,A,2.60.40.20,74,2.16,74.87,98.25,0.24
2ait,A,2.60.40.20,74,2.25,75.47,102.25,0.24
1hoe,A,2.60.40.20,74,2.65,79.41,99.5,0.23
1l3n,A,2.60.40.200,153,1.16,73.28,84.75,0.12
1hl4,A,2.60.40.200,153,1.38,72.62,83.75,0.11
1b4l,A,2.60.40.200,153,1.4,189.64,202,0.32
2c9u,A,2.60.40.200,153,1.38,71.53,83.5,0.11
1azv,A,2.60.40.200,153,1.72,194.25,211.5,0.33
1yai,A,2.60.40.200,151,1.62,54.72,66.5,0.08
1pzs,A,2.60.40.200,171,1.67,129.16,139.75,0.18
1fun,A,2.60.40.200,153,1.3,70.56,78.5,0.11
1cob,A,2.60.40.200,151,1.56,183.16,196.75,0.31
2af2,A,2.60.40.200,153,1.42,216.62,229.25,0.37
1z9p,A,2.60.40.200,155,1.81,54.4,68.5,0.07
1eqw,A,2.60.40.200,155,2.23,174.72,193.25,0.28
2e47,A,2.60.40.200,155,1.28,75.07,76.75,0.1
1f1a,A,2.60.40.200,153,1.41,72.83,85.25,0.12
2gbv,A,2.60.40.200,153,1.4,151.26,162.75,0.25
1sdy,A,2.60.40.200,153,1.48,190.67,202.75,0.32
1srd,A,2.60.40.200,154,1.65,196.38,214.25,0.33
1bzo,A,2.60.40.200,151,1.64,55.1,68.5,0.08
1rk7,A,2.60.40.200,153,1.63,120.65,136.4,0.2
1e9p,A,2.60.40.200,151,1.54,187.56,199.75,0.32
2sod,B,2.60.40.200,151,1.54,185.71,200.25,0.32
1uxm,A,2.60.40.200,153,1.74,193.06,209.75,0.32
1oez,W,2.60.40.200,124,1.65,191.8,208.75,0.4
1sxa,A,2.60.40.200,151,1.56,184.38,199,0.31
2aqm,A,2.60.40.200,154,2.08,54.34,73,0.07
1sxz,A,2.60.40.200,151,1.58,185.57,199,0.32
2jcw,A,2.60.40.200,153,1.4,72.2,83.5,0.11
1n19,A,2.60.40.200,153,1.29,75.09,85,0.12
2aqp,A,2.60.40.200,155,1.93,56.3,71.75,0.07
1e9o,A,2.60.40.200,151,1.54,183.03,199,0.31
1sxn,A,2.60.40.200,151,1.6,184.16,199.5,0.31
2gbu,A,2.60.40.200,153,1.68,212.15,228.5,0.35
1ozu,A,2.60.40.200,149,1.59,133.68,149,0.22
2aqr,A,2.60.40.200,155,1.82,52.05,67.75,0.07
2aps,A,2.60.40.200,155,1.95,151.58,169.75,0.24
1z9n,A,2.60.40.200,155,1.89,55.5,72.25,0.07
1hl5,A,2.60.40.200,153,1.46,69.78,80.75,0.1
1cbj,A,2.60.40.200,151,1.63,109.26,126.25,0.18
1ibf,A,2.60.40.200,151,1.5,112.26,124.5,0.18
2aqn,A,2.60.40.200,155,1.78,51.68,67.5,0.07
1dsw,A,2.60.40.200,153,1.44,193.56,209,0.33
1n18,A,2.60.40.200,153,1.46,78.17,91.5,0.12
1spd,A,2.60.40.200,153,1.61,189.88,205.25,0.32
1yaz,A,2.60.40.200,153,1.44,71.06,83.5,0.11
1sxs,A,2.60.40.200,151,1.62,184.44,198,0.31
2aqs,A,2.60.40.200,160,1.7,72.59,79.25,0.09
1to5,A,2.60.40.200,156,1.59,202.17,216,0.33
1oaj,A,2.60.40.200,151,1.66,51.45,65.75,0.07
1e9q,A,2.60.40.200,151,1.53,186.34,199.75,0.32
1xso,A,2.60.40.200,150,1.7,185.52,203.75,0.32
1jcv,A,2.60.40.200,153,1.42,70.03,83.75,0.11
1cb4,A,2.60.40.200,151,1.54,183.98,198.25,0.31
1qup,A,2.60.40.200,219,1.58,404.66,395.75,0.47
1oal,A,2.60.40.200,151,1.58,54.26,66.25,0.08
1to4,A,2.60.40.200,156,1.66,201.47,217.25,0.33
1kmg,A,2.60.40.200,153,1.52,194.67,206.75,0.33
1ibb,A,2.60.40.200,151,1.61,54.03,65.75,0.07
1ibd,A,2.60.40.200,151,1.52,191.76,203.75,0.32
1q0e,A,2.60.40.200,151,1.57,184.63,203.5,0.31
2nnx,A,2.60.40.200,153,1.71,195.74,209,0.33
1sda,B,2.60.40.200,151,1.65,185.44,204.75,0.32
1sxb,A,2.60.40.200,151,1.58,183.17,199,0.31
1eso,A,2.60.40.200,154,1.71,56.57,69.25,0.08
1sos,A,2.60.40.200,153,1.54,192.35,208.25,0.32
1ib5,A,2.60.40.200,151,1.61,125.73,137,0.2
1f1d,A,2.60.40.200,153,1.47,72.61,85.25,0.11
3cqp,A,2.60.40.200,152,1.56,189.41,206,0.32
1pu0,A,2.60.40.200,153,1.61,77.5,91.5,0.12
1ej8,A,2.60.40.200,140,1.61,244.45,259,0.45
2aeo,A,2.60.40.200,151,1.66,185.88,203.75,0.32
1ozt,G,2.60.40.200,153,1.48,71.91,84.75,0.11
1do5,A,2.60.40.200,154,1.66,208.55,223.25,0.35
1f18,A,2.60.40.200,153,1.48,69.25,84.5,0.11
1ptz,A,2.60.40.200,153,1.33,72.44,84.25,0.11
1ibh,A,2.60.40.200,151,1.46,46.69,55.25,0.06
1mfm,A,2.60.40.200,153,1.55,76.12,87.25,0.11
2aqt,A,2.60.40.200,155,1.69,52.47,64.75,0.07
1sxc,A,2.60.40.200,151,1.57,183.31,199,0.31
2gbt,A,2.60.40.200,152,1.6,187.17,204,0.32
1p1v,A,2.60.40.200,145,1.48,189.95,204.75,0.34
1b4t,A,2.60.40.200,153,1.55,78.06,88.75,0.12
3sod,B,2.60.40.200,151,1.65,187.59,205.25,0.32
1f1g,A,2.60.40.200,153,1.35,64.14,78.25,0.1
1ba9,A,2.60.40.200,153,1.42,193.53,202.5,0.32
1yso,A,2.60.40.200,153,1.42,69.15,81.5,0.11
1noa,A,2.60.40.230,113,1.62,40.52,33.5,0.02
2cbt,A,2.60.40.230,111,1.48,36.92,29.25,0.03
1akp,A,2.60.40.230,114,0.73,43.41,22.5,0.03
1j5i,A,2.60.40.230,113,1.19,114.23,112.25,0.23
2cbq,A,2.60.40.230,111,1.49,35.81,30.75,0.02
2mcm,A,2.60.40.230,112,2.16,40.53,44.25,0.02
2g0k,A,2.60.40.230,113,1.27,273.38,263.75,0.62
2g0l,A,2.60.40.230,113,1.29,44.64,27.5,0.02
2cbm,A,2.60.40.230,112,1.72,41.65,36.75,0.03
1j5h,A,2.60.40.230,113,1.73,46,44.25,0.05
1j48,A,2.60.40.230,109,1.94,38.58,42,0.03
1o5p,A,2.60.40.230,113,1.5,43.86,31.75,0.03
1nco,A,2.60.40.230,113,2.2,44.05,44,0.03
1acx,A,2.60.40.230,108,1.58,42.23,34,0.03
1hzl,A,2.60.40.230,110,1.5,42.2,34.25,0.03
1hzk,A,2.60.40.230,110,1.44,40.2,31.75,0.03
1xbd,A,2.60.40.290,87,0,9.14,0,0
1e5c,A,2.60.40.290,87,0,8.82,0,0
2xbd,A,2.60.40.290,87,0,9.36,0,0
1exg,A,2.60.40.290,110,0,21.75,0,0
1heh,C,2.60.40.290,88,0.22,10.21,4,0.01
1exh,A,2.60.40.290,110,0,21.91,0,0
1e5b,A,2.60.40.290,87,0.23,13.07,3,0.01
1hej,C,2.60.40.290,88,0,9.5,0,0
1ttg,A,2.60.40.30,94,0.98,146.75,128.5,0.36
1pvh,A,2.60.40.30,201,2.54,446.78,412.5,0.54
2aew,A,2.60.40.30,189,1.9,215.84,183.75,0.24
1eba,A,2.60.40.30,212,2.04,372.16,369.5,0.44
1fna,A,2.60.40.30,91,1.99,150.75,153.75,0.39
1uen,A,2.60.40.30,125,1.79,125.81,94.75,0.15
2arw,A,2.60.40.30,103,1.39,113.58,93,0.21
1cn4,A,2.60.40.30,217,1.75,378.28,355,0.43
1cto,A,2.60.40.30,109,1.02,79.53,59.25,0.11
1ujt,A,2.60.40.30,120,1.82,133.73,104.25,0.2
1n6v,A,2.60.40.30,212,2.62,285,256.25,0.3
1c8p,A,2.60.40.30,102,1.58,56.05,39,0.04
1gcf,A,2.60.40.30,109,1.04,192.98,174.25,0.42
1ttf,A,2.60.40.30,94,1.13,162.13,149.25,0.41
1j8k,A,2.60.40.30,94,1.36,54.53,32.5,0.03
1qg3,A,2.60.40.30,195,2.54,396.18,363.5,0.49
1n6u,A,2.60.40.30,212,2.56,284.93,256.25,0.3
2cum,A,2.60.40.30,105,1.55,154.64,112,0.27
1ebp,A,2.60.40.30,211,1.75,356.16,356,0.42
1qr4,A,2.60.40.30,175,1.75,224.86,189,0.27
2mfn,A,2.60.40.30,184,1.79,382.6,342.25,0.5
2fnb,A,2.60.40.30,95,1.45,156.83,146.25,0.39
1uc6,A,2.60.40.30,109,1.69,78.62,53.5,0.08
1lwr,A,2.60.40.30,96,1.63,163.08,142.25,0.38
1lqs,L,2.60.40.30,207,2.69,514.25,487,0.62
1j9c,A,2.60.40.30,210,2.72,567,552.25,0.69
1uey,A,2.60.40.30,127,1.7,156.13,153.75,0.28
1uem,A,2.60.40.30,117,2.15,124.96,107.25,0.19
1bqu,A,2.60.40.30,208,2.35,315.72,274.75,0.34
1cfb,A,2.60.40.30,205,2.46,129.62,99.5,0.09
1ten,A,2.60.40.30,89,1.65,90.83,86.5,0.2
2rb8,A,2.60.40.30,93,2.12,55.75,44.75,0.04
1a21,A,2.60.40.30,194,2.83,537.29,521,0.71
1q38,A,2.60.40.30,89,1.71,139.94,144.5,0.37
1tfh,A,2.60.40.30,202,3.12,548,533.25,0.69
1k85,A,2.60.40.30,88,1.71,50.05,37.5,0.04
2hym,A,2.60.40.30,212,2.89,285.92,265.75,0.3
1ern,A,2.60.40.30,207,2.1,321.1,316.75,0.38
1boy,A,2.60.40.30,211,2.88,572.17,555,0.69
1oww,A,2.60.40.30,93,2.28,157.2,159,0.39
1mfn,A,2.60.40.30,184,1.54,434.75,384,0.58
1bj8,A,2.60.40.30,109,2.17,74.77,54,0.06
2h0p,A,2.60.40.350,112,2.12,118.66,114.75,0.21
1ztx,E,2.60.40.350,101,1.85,62.13,49,0.06
1z66,A,2.60.40.350,93,2.29,60.55,57.5,0.07
1pjw,A,2.60.40.350,111,1.75,95.6,75.5,0.13
2p5p,A,2.60.40.350,101,1.4,146,128.75,0.31
2gg1,A,2.60.40.350,93,1.91,60.42,53,0.08
1z3r,A,2.60.40.350,99,2.09,147.67,151.75,0.34
2jsf,A,2.60.40.350,117,1.93,223.24,189,0.43
2r69,A,2.60.40.350,97,1.12,138.34,115.5,0.3
1s6n,A,2.60.40.350,115,1.92,205.44,214.5,0.45
2j2z,A,2.60.40.360,217,2.39,492.54,474.25,0.58
2uy6,A,2.60.40.360,217,2.43,451.12,418,0.52
2os7,A,2.60.40.360,206,2.35,506.07,501.75,0.63
2uy7,A,2.60.40.360,217,2.17,506.03,458.75,0.59
1pdk,A,2.60.40.360,215,2.23,446.5,438,0.52
1qpx,A,2.60.40.360,206,2.26,505.83,494,0.63
2j7l,A,2.60.40.360,210,2.44,446.64,439.75,0.54
3msp,A,2.60.40.360,126,1.82,70.89,45,0.05
1z9s,A,2.60.40.360,196,2.73,487.94,480.75,0.63
2bvu,A,2.60.40.360,123,2.17,61.94,51.5,0.04
1n0l,A,2.60.40.360,212,2.4,503.56,496.5,0.61
1qpp,A,2.60.40.360,207,2.12,496.98,487.25,0.61
1grw,A,2.60.40.360,124,1.87,120.65,104,0.18
1row,A,2.60.40.360,107,1.81,41.2,37.5,0.03
1bf8,A,2.60.40.360,205,2.02,481.66,475.75,0.6
2rac,A,2.60.40.420,105,2,135.53,151.75,0.31
2gb2,A,2.60.40.420,105,2,135.05,151.75,0.31
1qhq,A,2.60.40.420,139,2.26,89.75,92,0.11
1bxu,A,2.60.40.420,91,2.29,85.56,109,0.22
1jvl,A,2.60.40.420,128,2.22,100.58,124.75,0.19
5paz,A,2.60.40.420,123,2.19,204.18,218.5,0.42
2pcf,A,2.60.40.420,99,1.95,76.15,95,0.17
1byp,A,2.60.40.420,99,1.94,76.88,94.75,0.18
1ylb,B,2.60.40.420,99,1.78,165.41,179.25,0.42
2tsb,A,2.60.40.420,128,2.02,93.71,113,0.17
2bz7,A,2.60.40.420,102,1.94,77.78,94.25,0.18
1gy2,A,2.60.40.420,155,1.67,99.88,101.5,0.14
1azb,A,2.60.40.420,129,2.44,376.13,405.5,0.77
1cur,A,2.60.40.420,155,1.7,337.51,334.75,0.55
2i7s,A,2.60.40.420,128,2.05,97.56,113,0.18
2ov0,A,2.60.40.420,105,2.01,134.53,151.25,0.31
1id2,A,2.60.40.420,106,2.17,139.47,153.75,0.32
1ils,A,2.60.40.420,128,2.27,237.84,256,0.48
2cal,A,2.60.40.420,153,1.67,210.75,211.25,0.34
1aan,A,2.60.40.420,105,2.18,135.98,154.5,0.32
1jvo,A,2.60.40.420,128,1.94,231.87,247.25,0.46
1j5d,A,2.60.40.420,98,1.64,85.01,99.5,0.21
1ilu,A,2.60.40.420,128,1.94,374.25,389.75,0.77
1cyx,A,2.60.40.420,158,1.58,269.08,261.25,0.42
1tkw,A,2.60.40.420,99,1.97,77.3,93.5,0.18
1iby,A,2.60.40.420,112,1.98,158.82,167.25,0.34
1ov8,A,2.60.40.420,139,2.21,136.47,137,0.21
1bxa,A,2.60.40.420,105,1.98,135.16,151,0.31
2i7o,A,2.60.40.420,128,2.23,79.95,101.25,0.14
1jzh,A,2.60.40.420,128,2.21,97.25,118.75,0.18
2tsa,A,2.60.40.420,128,2.21,234.65,255.25,0.47
1plb,A,2.60.40.420,97,1.63,118.52,128.75,0.3
1e5z,A,2.60.40.420,128,2.21,98.77,117.25,0.18
1jxg,A,2.60.40.420,100,2.23,80.76,101.5,0.18
2uxf,A,2.60.40.420,122,1.81,204.62,210.5,0.42
1xb8,A,2.60.40.420,127,1.98,89.56,110.5,0.17
1pla,A,2.60.40.420,97,1.69,119.06,131.5,0.3
2uxg,A,2.60.40.420,122,1.69,203.63,208.5,0.41
1pcs,A,2.60.40.420,98,1.98,83.57,105,0.2
1dz0,A,2.60.40.420,129,2.4,378.16,402.25,0.77
1nwp,A,2.60.40.420,128,2.52,374.78,404.5,0.77
2ux7,A,2.60.40.420,122,1.69,203.36,208.5,0.41
1x9u,A,2.60.40.420,105,1.44,140.69,154.25,0.34
1r1c,A,2.60.40.420,128,1.96,233.25,249.75,0.47
1uri,A,2.60.40.420,129,2.42,379.21,403.25,0.77
1cuo,A,2.60.40.420,129,2.2,376.25,399.5,0.77
1ic0,A,2.60.40.420,110,1.63,195.08,201.5,0.45
1rcy,A,2.60.40.420,151,2,324.22,330.75,0.55
1etj,A,2.60.40.420,128,2.2,375.82,393.25,0.77
1teg,A,2.60.40.420,99,2.19,76.22,96.25,0.17
1tef,A,2.60.40.420,99,2.19,76.56,96.25,0.17
5azu,A,2.60.40.420,128,2.19,237.4,257,0.48
2qdw,A,2.60.40.420,105,2,134.6,151.25,0.31
1bex,A,2.60.40.420,128,2.19,100.15,123.25,0.19
1adw,A,2.60.40.420,123,2.2,201.59,219,0.41
1oow,A,2.60.40.420,99,2,75.95,93,0.17
2hxa,A,2.60.40.420,125,1.96,361.22,380.5,0.76
1joi,A,2.60.40.420,128,2.6,376.91,403,0.77
1pnc,A,2.60.40.420,99,1.99,76.81,95,0.17
1f56,A,2.60.40.420,91,1.68,156.46,168.75,0.44
1nzr,A,2.60.40.420,128,2.2,375.23,393.25,0.77
1a4a,A,2.60.40.420,129,2.39,380.43,401.25,0.78
1pmy,A,2.60.40.420,123,2,201.31,209.25,0.4
1ag6,A,2.60.40.420,99,2,76.47,93,0.17
2gba,A,2.60.40.420,105,2,134.8,151.75,0.31
1azc,A,2.60.40.420,129,2.33,375.85,406.5,0.77
1aac,A,2.60.40.420,105,2.06,137.12,153.75,0.32
1ibz,A,2.60.40.420,111,2.07,152.48,168,0.34
1iko,P,2.60.40.420,141,1.75,64.58,74.5,0.09
1jzj,A,2.60.40.420,128,2.12,96.03,117.75,0.18
1a4c,A,2.60.40.420,129,2.12,377.38,393.25,0.77
2pcy,A,2.60.40.420,99,2.07,76.44,95.5,0.17
1aaj,A,2.60.40.420,105,2.12,135.62,154.25,0.32
1shw,A,2.60.40.420,138,0.22,18.48,4.25,0.01
5pcy,A,2.60.40.420,99,2.06,76.59,95.5,0.17
6pcy,A,2.60.40.420,99,2.06,76.96,95.5,0.17
1jzi,A,2.60.40.420,128,2.06,99.09,119.25,0.19
1a4b,A,2.60.40.420,129,2.28,238.55,259.25,0.47
1gy1,A,2.60.40.420,154,1.64,334.9,334.5,0.56
2aza,A,2.60.40.420,129,2.36,379.13,400,0.77
1a3z,A,2.60.40.420,150,1.91,321.51,321.5,0.54
2cak,A,2.60.40.420,154,1.49,332.65,330,0.55
2oj1,A,2.60.40.420,128,2.3,140.93,163.25,0.27
1byo,A,2.60.40.420,99,2.06,76.86,95.5,0.18
1jxd,A,2.60.40.420,98,1.48,123.88,133.75,0.31
1jze,A,2.60.40.420,128,2.31,235.91,259.75,0.48
1pnd,A,2.60.40.420,99,2.08,76.68,95.5,0.17
4pcy,A,2.60.40.420,99,2.08,76.69,95.5,0.17
1sfd,A,2.60.40.420,105,1.9,135.45,149,0.31
1cyw,A,2.60.40.420,159,1.73,211.81,199.75,0.31
1shx,A,2.60.40.420,138,1.08,65.95,63,0.1
1t5k,A,2.60.40.420,105,1.89,135.56,148.25,0.31
1paz,A,2.60.40.420,120,1.89,190.39,195,0.39
1pzb,A,2.60.40.420,120,2.09,192.41,199,0.39
1pza,A,2.60.40.420,120,2.1,193.16,200.25,0.4
1vlx,A,2.60.40.420,128,2.1,372.11,390.5,0.76
1cc3,A,2.60.40.420,130,2.35,385.86,401.75,0.78
2azu,A,2.60.40.420,128,2.08,96.38,116,0.17
1i53,A,2.60.40.420,128,2.08,96.45,119,0.18
1bxv,A,2.60.40.420,91,2.08,84.45,103.5,0.22
1m9w,A,2.60.40.420,98,1.88,84.81,104.5,0.21
3pcy,A,2.60.40.420,99,2.1,76.55,95.5,0.17
1bqk,A,2.60.40.420,124,1.74,203.72,206.75,0.41
2cj3,A,2.60.40.420,105,2.08,87.2,106.25,0.19
1e67,A,2.60.40.420,128,2.13,236.44,253.75,0.47
1zia,A,2.60.40.420,124,1.77,205.33,209,0.41
1rkr,A,2.60.40.420,129,2.04,235.78,257.5,0.47
2fta,A,2.60.40.420,122,2.28,47.75,72.75,0.08
1jer,A,2.60.40.420,110,1.67,212.39,228.75,0.5
6paz,A,2.60.40.420,123,2.04,202.5,214.5,0.41
1e65,A,2.60.40.420,128,2.28,99.52,119.25,0.18
2ids,A,2.60.40.420,105,2.15,134.43,154.5,0.31
1pzc,A,2.60.40.420,122,1.93,197.29,208.25,0.4
1aiz,A,2.60.40.420,129,2.54,379.88,407.75,0.78
1bqr,A,2.60.40.420,124,2.04,205.36,214.5,0.41
4azu,A,2.60.40.420,128,2.28,237.79,256,0.48
1nwo,A,2.60.40.420,128,2.16,373.18,396.25,0.77
1ws8,A,2.60.40.420,104,1.56,196,202.75,0.48
1azr,A,2.60.40.420,128,2.02,100.75,115.5,0.18
1zib,A,2.60.40.420,124,1.93,205.25,211.75,0.41
1x9r,A,2.60.40.420,105,1.59,201.74,219.5,0.5
2idf,A,2.60.40.420,128,2.03,83.7,104.75,0.15
2idq,A,2.60.40.420,105,2.03,134.42,151.25,0.31
1sfh,A,2.60.40.420,105,2.16,136.08,152.5,0.32
3azu,A,2.60.40.420,128,2.16,97.62,119.25,0.18
1ag0,A,2.60.40.420,128,2.04,98.89,119.25,0.19
1a8z,A,2.60.40.420,153,1.85,332.77,336.25,0.56
2fnw,A,2.60.40.420,128,2.15,95.09,116.75,0.18
1baw,A,2.60.40.420,105,1.71,130.88,142.25,0.3
1kdj,A,2.60.40.420,102,1.92,76.4,94.5,0.17
2bzc,A,2.60.40.420,102,1.75,119.75,134.5,0.29
2aan,A,2.60.40.420,123,2.46,84.47,107.75,0.16
1fa4,A,2.60.40.420,105,1.54,130.54,136.25,0.3
1ws7,A,2.60.40.420,107,1.56,220.69,223.75,0.52
1e5y,A,2.60.40.420,128,2.15,235.71,253.5,0.47
1dyz,A,2.60.40.420,129,2.14,238.2,258.25,0.48
9pcy,A,2.60.40.420,99,2.05,77.03,95.5,0.18
2ext,A,2.60.40.50,63,1.21,67.78,68.25,0.23
1qaw,A,2.60.40.50,67,1.05,79.87,67,0.24
1wap,A,2.60.40.50,68,1.17,33.92,23.25,0.02
2zd0,A,2.60.40.50,63,1.04,66.47,65,0.22
2zcz,A,2.60.40.50,73,1.05,102.1,99.5,0.33
1ezs,A,2.60.40.550,125,1.62,87.56,58.5,0.08
1ecz,A,2.60.40.550,142,1.86,147.72,124.25,0.2
1ifg,A,2.60.40.550,140,2.14,137.22,162,0.25
1slv,A,2.60.40.550,130,2.04,115.68,94.5,0.15
1slw,A,2.60.40.550,130,2.17,111.55,92,0.14
1slx,A,2.60.40.550,131,1.95,113.35,90.5,0.14
1ecy,A,2.60.40.550,142,1.73,144.25,122.75,0.2
1slu,A,2.60.40.550,131,1.77,113.53,87.25,0.14
1ezu,A,2.60.40.550,140,1.87,141.18,113.75,0.18
1suh,A,2.60.40.60,104,1.5,114.31,108.5,0.23
1nci,A,2.60.40.60,102,1.22,45.13,29.5,0.03
1ff5,A,2.60.40.60,219,2.85,455.27,420.75,0.5
1ncg,A,2.60.40.60,99,1.36,95.64,89.25,0.2
1edh,A,2.60.40.60,211,2.87,432.19,404,0.5
2o72,A,2.60.40.60,213,2.94,437.71,409,0.5
2yqg,A,2.60.40.60,123,1.16,176.16,174,0.35
1b4r,A,2.60.40.670,80,1.64,39.23,33.25,0.03
1tyj,A,2.60.40.680,170,2.97,41.15,55,0.01
1anu,A,2.60.40.680,138,2.69,33.4,54.75,0.02
1aoh,A,2.60.40.680,147,4.3,77.06,77.06,0.01
1g1k,A,2.60.40.680,143,3.87,52.05,71,0.02
1qzn,A,2.60.40.680,171,2.58,68.54,70.75,0.05
2b59,A,2.60.40.680,166,2.67,45.67,54.25,0.02
1ohz,A,2.60.40.680,140,3.16,41.8,67.25,0.03
1ayo,A,2.60.40.690,130,0,26.65,0,0
1edy,A,2.60.40.690,134,2.16,67.02,72.25,0.08
1nbc,A,2.60.40.710,155,2.69,192.78,213.5,0.3
1g43,A,2.60.40.710,160,1.92,204.26,222.25,0.32
2ioo,A,2.60.40.720,187,2.16,108.22,121.75,0.13
2j20,A,2.60.40.720,195,2.25,139.5,141.5,0.15
1uol,A,2.60.40.720,195,2.29,140.34,139,0.15
2ocj,A,2.60.40.720,194,2.44,138.88,140.25,0.15
2ioi,A,2.60.40.720,187,2.14,109.1,121.75,0.13
2p52,A,2.60.40.720,196,2.4,147.25,146.5,0.16
2bim,A,2.60.40.720,195,2.34,140.34,139,0.15
1hu8,A,2.60.40.720,186,1.98,104.03,114,0.12
1ycs,A,2.60.40.720,191,2.34,125.59,129.5,0.14
2iom,A,2.60.40.720,187,2.18,107.61,121.75,0.13
1do6,A,2.60.40.730,124,2.06,138.16,141.25,0.25
1dfx,A,2.60.40.730,125,1.88,273.13,277.25,0.56
1dqi,A,2.60.40.730,124,2.08,93.73,97.5,0.15
1dqk,A,2.60.40.730,124,1.94,137.47,138.75,0.25
1amx,A,2.60.40.740,150,3.02,180.84,196.75,0.28
1who,A,2.60.40.760,94,1.56,172.03,184.25,0.47
2hcz,X,2.60.40.760,241,1.64,379.08,363.5,0.39
1whp,A,2.60.40.760,94,1.86,171.86,188.75,0.47
1n10,A,2.60.40.760,228,1.62,463,448.75,0.52
1bmw,A,2.60.40.760,94,1.15,166.76,172.25,0.45
1ahk,A,2.60.40.770,129,0.76,28.99,24.25,0.03
1wrf,A,2.60.40.770,129,0.91,33.06,22.5,0.02
2hka,A,2.60.40.770,130,0.96,29.8,23.5,0.02
2f08,A,2.60.40.770,129,1.03,33.23,26.5,0.02
1nep,A,2.60.40.770,130,1.68,37.36,39.5,0.03
1ahm,A,2.60.40.770,129,0.86,33.77,31.75,0.04
1ktj,A,2.60.40.770,129,0.85,35.5,25.5,0.03
1a9v,A,2.60.40.770,129,0.72,40.38,23,0.03
1shs,A,2.60.40.790,115,2.48,112.31,124.5,0.21
1rl1,A,2.60.40.790,92,2,86.84,98.5,0.21
1gme,A,2.60.40.790,150,2.09,241.28,226.75,0.37
1ejf,A,2.60.40.790,110,1.6,154.03,141,0.31
1wfi,A,2.60.40.790,131,1.46,269.35,235.25,0.49
1ctm,A,2.60.40.830,250,2.75,160.63,161.25,0.13
1hcz,A,2.60.40.830,250,3.04,160.23,169,0.13
2hnv,A,2.60.9.10,81,0.18,25.77,5,0.01
1jk4,A,2.60.9.10,79,1.98,41.91,50.75,0.07
1l5d,A,2.60.9.10,92,1.78,89.39,94.5,0.21
1npo,A,2.60.9.10,81,2.12,50.25,63.25,0.1
1jk6,A,2.60.9.10,80,1.94,42.83,49.25,0.06
1l5c,A,2.60.9.10,92,2.12,92.1,99.5,0.2
2hnw,A,2.60.9.10,80,1.88,43.6,47.5,0.07
2bn2,A,2.60.9.10,85,2.01,62.99,68.5,0.12
2hnu,A,2.60.9.10,81,1.83,50.08,54,0.09
1knb,A,2.60.90.10,186,2.5,131.76,154.75,0.17
1uxa,A,2.60.90.10,185,2.65,132.05,164.5,0.18
1uxb,A,2.60.90.10,184,2.6,127.22,157.5,0.17
1nob,A,2.60.90.10,185,2.41,137.29,157,0.17
1qhv,A,2.60.90.10,195,2.5,162.41,164.5,0.18
1uxe,A,2.60.90.10,184,2.31,129.74,155,0.17
1kke,A,2.60.90.20,206,1.96,357.41,332,0.42
4hir,A,2.70.10.10,49,0.23,16.02,3,0
2hir,A,2.70.10.10,49,0.2,11.25,1,0
5hir,A,2.70.10.10,49,0.53,27.73,22,0.08
6hir,A,2.70.10.10,49,0.27,15.09,2,0
2joo,A,2.70.10.10,51,0.82,78.38,78.25,0.37
1hic,A,2.70.10.10,51,0.18,22.63,3.75,0.02
1m6p,A,2.70.130.10,146,2.12,51.86,55.5,0.05
1gp0,A,2.70.130.10,133,2.73,200.71,226,0.38
1gp3,A,2.70.130.10,129,1.44,43.29,44.25,0.05
3cy4,A,2.70.130.10,151,2.02,440.7,443.5,0.76
1c39,A,2.70.130.10,152,2.3,69.9,75.75,0.07
1keo,A,2.70.130.10,152,1.98,52.3,56.5,0.04
1gqb,A,2.70.130.10,131,2.89,209.66,237,0.4
2bj0,A,2.70.170.10,203,2.67,142.37,132,0.13
1ux2,A,2.70.170.10,207,2.56,157.68,140.25,0.14
1uw6,A,2.70.170.10,208,2.5,160.44,140.75,0.14
1i9b,A,2.70.170.10,205,2.76,149.61,137.75,0.13
1uv6,A,2.70.170.10,205,2.81,148.57,137.75,0.13
1pu5,A,2.70.220.10,164,0.86,22.45,18,0.01
2agc,A,2.70.220.10,162,0.92,49.32,41.75,0.05
2ag4,A,2.70.220.10,164,0.69,33.88,22.5,0.02
1g13,A,2.70.220.10,160,0.26,17.04,3.25,0
2ag9,A,2.70.220.10,164,0.79,46.17,38.25,0.05
2ag2,A,2.70.220.10,164,0.86,22.94,18,0.01
1tjj,A,2.70.220.10,164,0.87,23.18,18,0.01
2af9,A,2.70.220.10,163,0.83,48.8,44.75,0.06
1pub,A,2.70.220.10,162,0.72,38.06,29.75,0.03
1l2g,A,2.70.230.10,242,1.14,126.84,88.25,0.08
1syl,A,2.70.40.10,137,1.48,247.04,235,0.44
1dup,A,2.70.40.10,136,1.23,310.02,287.75,0.57
1q5h,A,2.70.40.10,127,1.34,224.37,205.5,0.42
